"event","model","peak_date","trough_date","drawdown_percent","classification","first_cross_40","first_cross_60","lead_trading_days","pre60_score","pre20_score","pre5_score","peak_score","trough_score","pre_event_max_score","pre_event_max_date","through_trough_max_score","top_pre_event_contributors"
"2020 年 3 月疫情崩盤","market-only","2020-02-19","2020-03-23","-34.1","concurrent-confirmation","2020-02-24","2020-02-25","-3","4.62","1.54","16.92","1.54","77.31","33.08","2020-01-31","83.46","vix_20d_change:50 | spy_20d_return:50 | vix_level:25 | spy_60d_return:25 | soxx_relative_20d:50"
"2020 年 3 月疫情崩盤","full-model","2020-02-19","2020-03-23","-34.1","concurrent-confirmation","2020-02-24","2020-03-03","-3","5","6.25","18.75","2.5","62.81","31.88","2020-01-31","69.06","vix_20d_change:50 | spy_20d_return:50 | vix_level:25 | spy_60d_return:25 | soxx_relative_20d:50"
"2022 年 10 月熊市低點","market-only","2022-08-16","2022-10-12","-17.02","early-warning","2022-05-19","2022-05-24","60","47.31","25.77","27.31","21.54","65.77","77.31","2022-06-16","77.31","vix_level:75 | spy_20d_return:100 | spy_60d_return:100 | vix_20d_change:75 | spy_drawdown:100"
"2022 年 10 月熊市低點","full-model","2022-08-16","2022-10-12","-17.02","early-warning","2022-05-19","2022-06-14","60","47.19","29.69","30.94","26.25","62.19","71.56","2022-06-16","71.56","vix_level:75 | spy_20d_return:100 | spy_60d_return:100 | vix_20d_change:75 | spy_drawdown:100"
"2024 年 8 月急跌","market-only","2024-07-16","2024-08-05","-8.41","early-warning","2024-04-19","2024-08-05","59","37.94","14.12","13.53","12.94","69.12","43.24","2024-04-19","69.12","spy_20d_return:75 | vix_20d_change:50 | spy_60d_return:50 | vix_level:25 | spy_drawdown:50"
"2024 年 8 月急跌","full-model","2024-07-16","2024-08-05","-8.41","early-warning","2024-04-19","2024-08-05","59","37.75","17.5","16.13","18.63","66.38","42.25","2024-04-19","66.38","spy_20d_return:75 | vix_20d_change:50 | spy_60d_return:50 | vix_level:25 | spy_drawdown:50"
"2025 年 4 月急跌","market-only","2025-02-19","2025-04-08","-19","concurrent-confirmation","2025-03-03","2025-04-03","-8","15","9.12","22.65","12.65","74.41","39.12","2024-12-18","77.35","vix_level:75 | vix_20d_change:100 | spy_20d_return:50 | spy_60d_return:25 | hy_oas_20d_change:25"
"2025 年 4 月急跌","full-model","2025-02-19","2025-04-08","-19","concurrent-confirmation","2025-03-04","2025-04-04","-9","18.38","12.38","23.88","15.38","68.88","37.88","2024-12-18","71.38","vix_level:75 | vix_20d_change:100 | spy_20d_return:50 | spy_60d_return:25 | hy_oas_20d_change:25"
